Target	UniProt ID	Design option	Design fit	MoA summary	Expected differentiation	Main safety risk	Main developability risk	Kill criteria	Design priority
BAFF receptor / TNFRSF13C	Q96RJ3	Blocking antibody	High	Block BAFF binding to BAFF-R and suppress BAFF-dependent B-cell survival.	More receptor-selective B-cell control than soluble BAFF blockade.	Infection, low IgG, impaired vaccine response.	Receptor occupancy, internalization, antigen/ligand competition.	No advantage over BAFF ligand blockade.	High
BAFF receptor / TNFRSF13C	Q96RJ3	Agonistic antibody	Low	Stimulate BAFF-R signaling.	None for autoimmune disease.	B-cell activation and autoimmune worsening.	Agonism control.	Any increase in B-cell activation or Ig production.	Low
BAFF receptor / TNFRSF13C	Q96RJ3	Fc-silent antibody	High	Block BAFF-R without ADCC/CDC.	Chronic autoimmune safety versus depleting BAFF-R antibodies.	Residual immune suppression and insufficient efficacy.	Fc silence plus potency.	Fc-silent design loses efficacy or requires impractical exposure.	High
BAFF receptor / TNFRSF13C	Q96RJ3	Fc-enhanced antibody	Medium	Deplete BAFF-R-positive B cells while blocking BAFF-R.	Selective B-cell depletion distinct from CD20/CD19.	Infection, hypogammaglobulinemia.	Effector variability and tissue B-cell access.	No differentiation versus CD20/CD19 depletion.	Medium
BAFF receptor / TNFRSF13C	Q96RJ3	Bispecific antibody	Medium-Low	Add second B-cell or inhibitory target to BAFF-R binding.	More precise B-cell modulation.	Unexpected B-cell activation or broad suppression.	CMC complexity and immune activation.	No clear benefit over monospecific antibody.	Low
BAFF receptor / TNFRSF13C	Q96RJ3	ADC	Low	Deliver cytotoxic payload to BAFF-R-positive cells.	Not appropriate for chronic autoimmune use.	B-cell aplasia, marrow/liver toxicity.	ADC payload and linker complexity.	Narrow therapeutic window.	Low
BAFF receptor / TNFRSF13C	Q96RJ3	Masked antibody	Medium	Activate BAFF-R binding preferentially in inflamed tissue.	Systemic B-cell safety improvement.	Off-tissue activation or inadequate activation.	Protease-cleavable mask design.	No disease-tissue-selective activation.	Medium-Low
BAFF receptor / TNFRSF13C	Q96RJ3	pH-dependent recycling antibody	Medium	Improve antibody reuse or antigen handling through pH-dependent binding.	Better dosing or antigen-sink management.	Prolonged B-cell suppression.	pH-dependent binding with preserved potency.	No PK/PD advantage over conventional IgG.	Medium-Low
CD40 ligand / TNFSF5	P29965	Blocking antibody	Medium	Block CD40L-CD40 costimulation.	Upstream control of T-B cell help versus B-cell depletion/cytokine blockade.	Platelet activation and thrombosis if Fc-active.	Binding valency and Fc-mediated crosslinking.	Platelet activation or coagulation signal.	Medium
CD40 ligand / TNFSF5	P29965	Agonistic antibody	Low	Stimulate CD40L biology.	None for autoimmune disease.	Immune activation, inflammation, thrombosis.	Agonism control.	Any T/B activation signal.	Low
CD40 ligand / TNFSF5	P29965	Fc-silent antibody	High	Block CD40L while avoiding Fc-mediated platelet crosslinking.	Revisits strong CD40L biology with safer format.	Residual thrombosis risk, infection.	Complete Fc silence and immune complex behavior.	Any platelet activation despite Fc silence.	High
