Disease	Target candidates	Rationale / evidence	Concerns / unknowns	Biomarker / patient selection potential	Competition density	Initial priority
Sjogren disease	BAFF-R; BAFF/APRIL; CD40L/CD40; FcRn	B-cell activation, autoantibodies, BAFF axis, T-B costimulation, and pathogenic IgG biology are aligned with antibody intervention. Recent clinical development activity exists for BAFF-R/CD40L/FcRn approaches.	Dryness/fatigue endpoints are hard; best responder segment is unclear; differentiation versus active B-cell programs may be difficult.	Anti-SSA/SSB, IgG, RF, complement, ESSDAI/ESSPRI, salivary gland pathology.	Medium	High
Systemic sclerosis	IL-6R/IL-6; CD19/CD20; CCL24; TGF-beta activation/integrins	Severe fibrotic autoimmune disease with immune, B-cell, vascular, and fibrotic components; extracellular cytokine/chemokine and membrane targets exist.	Causal target biology is heterogeneous; fibrosis reversal is difficult; safety window for anti-fibrotic immune targets is uncertain.	Autoantibodies, skin score, FVC/HRCT, inflammatory/fibrotic serum markers, disease duration.	Low-Medium	High
IgG4-related disease	CD19; CD20; BAFF/APRIL; FcRn; plasmablast-associated targets	B-cell/plasmablast biology is strong; IgG4 and organ inflammation provide measurable disease biology; inebilizumab/obexelimab validate antibody tractability.	CD19 space now has approved/advanced competition; post-CD19 unmet need and new target differentiation are unclear.	Serum IgG4, plasmablasts, organ imaging, complement, organ-specific activity indices.	Medium	Medium-High
Lupus nephritis / SLE	CD40L/CD40; BAFF/APRIL; IFNAR1/pDC targets; CD19/CD20; FcRn	Large unmet need with B-cell, IFN, immune complex, and costimulation biology; multiple accessible antibody targets and biomarkers.	Competitive landscape is crowded; broad SLE heterogeneity dilutes signals; renal outcome trials are long.	Anti-dsDNA, complement, proteinuria, renal biopsy class, IFN signature, autoantibody profile.	Medium-High	Medium
Dermatomyositis	IFNAR1/pDC targets; FcRn; C5/C5a; CD19/CD20	Type I IFN signature, myositis-specific autoantibodies, complement, and B-cell biology suggest antibody-accessible mechanisms.	Disease heterogeneity; optimal endpoint differs across skin, muscle, and ILD; clinical efficacy for some targets is unproven.	Myositis-specific antibodies, IFN signature, CK, skin/muscle scores, ILD status.	Low-Medium	Medium-High
Autoimmune blistering diseases	FcRn; CD20/CD19; IL-4Ralpha; C5/C5a; IgE pathway	Pathogenic autoantibodies are central in pemphigus/BP; antibody titers and skin pathology are measurable; biologic tractability is high.	FcRn/CD20/IL-4Ralpha competition is increasing; long-term relapse prevention and infection risk need clarification.	Autoantibody titers, antigen specificity, eosinophils, IgE, complement, lesion counts.	Medium	Medium-High
Hidradenitis suppurativa	IL-17A/F; IL-36R; OSM/OSMR; IL-1 pathway; TNF	High burden inflammatory skin disease; biologics validate extracellular cytokine targeting; residual nonresponse remains after TNF/IL-17 drugs.	Biomarker-led patient selection is weak; IL-17/TNF differentiation is weak; effects on tunnels/scarring are uncertain.	HiSCR, lesion type, inflammatory signatures, microbiome/immune signatures are candidate but not established.	Medium	Medium
Celiac disease	IL-15/IL-15R; alphaEbeta7/integrins; IL-21/IFN-related cytokines	Clear antigen trigger and biomarkers; refractory or symptomatic patients despite gluten-free diet remain unmet; IL-15/lymphocyte pathways are antibody-accessible.	Most patients managed by diet; anti-cytokine safety in gut immunity; clinical success of antibody approaches remains unclear.	HLA-DQ2/DQ8, anti-tTG, biopsy, gluten challenge response, refractory disease status.	Low-Medium	Medium
Autoimmune liver diseases	BAFF/APRIL; CXCL13/CXCR5; integrins/trafficking targets; fibrotic mediators	AIH/PBC/PSC have immune and fibrotic components with limited options in subsets, especially PSC; competition is not overcrowded.	Antibody necessity is weak; causal extracellular targets are not well established; small molecules/metabolic drugs may be more suitable.	IgG/IgM, autoantibodies, ALP/bilirubin, fibrosis markers, imaging, histology.	Low	Low-Medium
ANCA-associated vasculitis	CD20/CD19; BAFF/APRIL; C5/C5a; FcRn; GM-CSF axis	Autoantibody, complement, B-cell, and neutrophil biology make antibody intervention plausible; biomarkers are comparatively clear.	Existing rituximab and complement pathway therapies set a high bar; infection risk and steroid-sparing differentiation are key.	PR3/MPO-ANCA, renal involvement, complement markers, inflammatory markers, relapse history.	Medium	Medium
