Disease	Patient segment / dependency	Target candidates	Evidence / rationale	Concerns	Recommendation
SLE / lupus nephritis	Steroid and MMF/CNI-dependent or biologic-inadequate responders; high IFN/B-cell signatures	CD40L, IFNAR1, BAFF-R, FcRn, APRIL, CD19-FcGR2B	Autoantibody, immune-complex and T-B costimulation biology; approved belimumab/anifrolumab leave incomplete renal and steroid-sparing responses; CD40L and FcRn phase 2/3 activity ongoing.	Very heterogeneous; endpoint noise; infection/thrombosis risk; crowded B-cell/IFN space.	High
Sjögren disease	Systemic active disease, ESSDAI-high, B-cell/IgG/FcRn-high, fatigue-pain subgroup separated	BAFF-R, CD40L, FcRn, CXCL13, CD19-FcGR2B	Nipocalimab, ianalumab and dazodalibep trials validate antibody tractability; no broadly approved disease-modifying therapy in many regions; biomarker-rich B-cell disease.	Sicca/fatigue endpoints hard; irreversible gland damage; placebo response; competition increasing.	High
Systemic sclerosis	Early diffuse cutaneous, inflammatory/CCL24-high, ILD-risk, steroid-avoidance population	CCL24, OSMR, IL6R, BAFF-R, TL1A	Fibrosis/inflammation and autoantibody overlap; nintedanib slows ILD but does not reverse disease; CCL24 and B-cell agents in trials.	Many anti-fibrotic failures; slow endpoints; tissue penetration; safety around repair/wound healing.	High
IgG4-related disease	Relapsing or glucocorticoid-dependent, plasmablast/IgG4-high	CD19, CD19-FcGR2B, FcRn, BAFF/APRIL, CD38	Steroids work but relapses and toxicity common; inebilizumab approval and obexelimab phase 3 validate B-cell/plasmablast axis.	CD19 space now less open; long-term hypogammaglobulinemia; organ fibrosis may be irreversible.	Medium-High
Dermatomyositis / antisynthetase disease	Refractory skin/muscle/ILD despite steroids, IVIG, JAKi or immunosuppressants	IFNAR1, FcRn, CXCL10/CXCR3, IL6R, C5	Type I IFN and autoantibodies prominent; FcRn could lower pathogenic IgG without broad cytotoxicity; complement implicated in myositis tissue injury.	Rare, heterogeneous; IVIG/JAK competition; muscle endpoints slow; infection risk.	Medium
ANCA-associated vasculitis	Relapsing PR3/MPO-positive or steroid/cyclophosphamide/rituximab-intolerant	C5aR1, CD19, CD20, BAFF, FcRn	Complement C5aR biology clinically validated by avacopan; B-cell depletion standard but relapses persist; antibody options could target autoantibody or complement axis.	C5aR already served by small molecule; CD20 crowded; infection/hypogammaglobulinemia.	Medium
Autoimmune blistering diseases	Pemphigus vulgaris or bullous pemphigoid with steroid dependence or relapse	FcRn, CD19, CD20, CD38, IL4R, C5	Pathogenic IgG is causal; rituximab and FcRn inhibitors support antibody-accessible biology; biomarkers include Dsg1/3 or BP180/230 titers.	Market fragmented; FcRn increasingly crowded; infection in elderly BP; relapse after IgG lowering.	Medium-High
Autoimmune liver disease / PSC overlap	AIH steroid/azathioprine-dependent; PSC inflammatory-fibrotic subgroup	CCR9/CCL25, VAP-1/AOC3, CCL24, TL1A, IL6R	Current AIH still relies on steroids/thiopurines; PSC lacks approved disease-modifying therapy; gut-liver trafficking and fibrosis targets are extracellular.	AIH biology less validated for antibodies; PSC endpoints long; hepatobiliary safety; biomarkers immature.	Medium
Celiac disease / refractory or nonresponsive disease	Gluten-free diet nonresponse; refractory celiac disease; steroid/budesonide dependence	IL15, IL7R, TL1A, OX40L, TGM2 immune complexes	IL-15 biology strong in refractory celiac; amlitelimab is in phase 2 nonresponsive celiac, validating costimulation modulation.	Oral antigen exposure confounds endpoints; lymphoma risk in RCD-II; tissue access; small population.	Medium
Hidradenitis suppurativa / neutrophilic-autoinflammatory overlap	Moderate-severe patients failing TNF/IL-17/IL-23; steroid/antibiotic/surgery dependent	IL36R, OSMR, CXCL1/2/5/8, IL1A, C5a	Antibody successes and failures reveal unmet need; abscess/tunnel biology has extracellular cytokine and neutrophil chemokine nodes.	Not classic autoimmune; crowded dermatology; several IL-1/IL-36/chemokine failures; infection/wound healing.	Medium
