Target	UniProt ID	Disease focus	Design option	Design fit	MoA summary	Expected differentiation	Main safety risk	Main developability risk	Kill criteria	Design priority
CD40LG	P29965	SLE/Sjögren	Blocking antibody	Medium	Block CD40L-CD40 costimulation.	Upstream T-B/APC control.	Platelet/thrombosis if Fc/valency crosslinks.	Valency and immune-complex behavior.	Any platelet activation signal.	Medium
CD40LG	P29965	SLE/Sjögren	Fc-silent antibody	High	Block CD40L while removing FcγR-mediated platelet crosslinking.	Safety-engineered revisit of validated biology.	Residual thrombosis, infection.	Complete Fc silence and manufacturability.	Platelet activation or coagulation in human blood.	High
CD40LG	P29965	SLE/Sjögren	Bispecific antibody	Medium	Block CD40L plus tissue/B-cell marker or second cytokine.	Patient- or tissue-focused costimulation blockade.	Cell bridging, broad suppression.	Geometry/CMC.	No advantage over monospecific; bridging activation.	Medium-Low
CD40LG	P29965	SLE/Sjögren	ADC	Low	Deliver payload to CD40L-positive activated cells.	Weak for chronic autoimmunity.	Activated T-cell/platelet toxicity.	Insufficient selectivity.	Normal immune-cell killing.	Low
CD40LG	P29965	SLE/Sjögren	Masked antibody	Medium	Protease-activated CD40L blockade in inflamed tissue.	Reduce systemic platelet/costimulation risk.	Circulating activation or underactivation.	Mask stability/cleavage.	No lesion-selective activation.	Medium
BAFFR_TNFRSF13C	Q96RJ3	Sjögren/SLE	Blocking antibody	High	Block BAFF survival signaling.	Receptor-selective versus belimumab.	Infection/hypo-Ig.	Receptor occupancy and ligand competition.	No advantage versus BAFF ligand blockade.	High
BAFFR_TNFRSF13C	Q96RJ3	Sjögren/SLE	Fc-silent antibody	High	Functional blockade without B-cell depletion.	Chronic safety.	Insufficient efficacy.	High exposure if weak antagonist.	No B-cell survival inhibition at feasible exposure.	High
BAFFR_TNFRSF13C	Q96RJ3	Sjögren/SLE	Fc-enhanced antibody	Medium	Deplete BAFF-R-positive B cells.	More potent B-cell reset than ligand blockade.	Hypogammaglobulinemia.	Effector variability/tissue access.	No differentiation versus CD20/CD19.	Medium
BAFFR_TNFRSF13C	Q96RJ3	Sjögren/SLE	Bispecific antibody	Medium	BAFF-R plus inhibitory or tissue marker.	Selective B-cell modulation.	Unexpected activation.	CMC/geometry.	No clear benefit over Fc-tuned mono.	Medium-Low
BAFFR_TNFRSF13C	Q96RJ3	Sjögren/SLE	ADC	Low	Kill BAFF-R-positive B cells.	Not appropriate for chronic disease.	B-cell aplasia/payload toxicity.	ADC therapeutic index.	Narrow safety window.	Low
CD19_FCGR2B	P15391/P31994	IgG4-RD/SLE	Bispecific antibody	High	Co-ligate CD19 and inhibitory FcγRIIb to suppress B cells.	Non-depleting B-cell inhibition.	Immune-complex/FcγR effects, infection.	Bispecific geometry and target density.	No primary B-cell inhibition or activation/cytotoxicity appears.	High
CD19_FCGR2B	P15391/P31994	IgG4-RD/SLE	Fc-silent antibody	High	Remove Fc effector to preserve non-cytolytic MoA.	Safety versus depletion.	Underpowered disease control.	Fc silence plus bispecific avidity.	Needs depletion for efficacy.	High
CD19_FCGR2B	P15391/P31994	IgG4-RD/SLE	Blocking antibody	Low	Blocking CD19 alone has weak rationale.	None.	Unknown.	Weak biology.	No inhibitory co-ligation.	Low
CD19_FCGR2B	P15391/P31994	IgG4-RD/SLE	ADC	Low	Kill CD19-positive B cells.	Oncology-like reset.	Payload toxicity/hypo-Ig.	Chronic TI unacceptable.	Any broad B-cell/plasma-cell payload toxicity.	Low
CCL24	O00175	SSc/PSC	Blocking antibody	High	Neutralize soluble CCL24 and CCR3 chemotaxis.	Less crowded fibrosis chemokine axis.	Host-defense/eosinophil effects.	Antigen sink/redundancy.	No CCL24-high tissue activity.	High
CCL24	O00175	SSc/PSC	pH-dependent recycling antibody	High	Bind CCL24 at neutral pH, release in endosome, improve antigen clearance/reuse.	Dosing/PK differentiation for soluble chemokine.	Prolonged chemokine suppression.	pH affinity tuning.	No PK/PD gain over standard IgG.	High
CCL24	O00175	SSc/PSC	Bispecific antibody	Medium	Dual neutralization of CCL24 and redundant chemokine/fibrotic mediator.	Overcome redundancy.	Broad trafficking suppression.	Fixed ratio/CMC.	Compensation not overcome or safety narrows.	Medium
CCL24	O00175	SSc/PSC	ADC	Low	Soluble target unsuitable for payload delivery.	None.	Systemic payload toxicity.	No internalizing cell selectivity.	No selective uptake.	Low
OSMR	Q99650	SSc/HS	Blocking antibody	High	Block OSMR stromal/epithelial remodeling signals.	Disease-tissue remodeling axis.	Repair/wound-healing impairment.	Receptor complex/species cross-reactivity.	No patient-tissue response.	High
OSMR	Q99650	SSc/HS	Fc-silent antibody	High	Block without killing structural cells.	Safety versus depleting OSMR-positive cells.	Insufficient effect.	Fc silence and potency.	Structural-cell toxicity or inadequate blockade.	High
OSMR	Q99650	SSc/HS	Masked antibody	Medium	Activate OSMR blockade preferentially in inflamed/fibrotic tissue.	Reduce systemic repair risk.	Off-tissue activation/underactivation.	Protease selection and mask recovery.	No lesion-selective activation.	Medium
OSMR	Q99650	SSc/HS	Bispecific antibody	Medium	OSMR plus IL-36/IL-1/neutrophil axis in HS or fibrosis pair in SSc.	Deeper lesion control.	Excess repair/immune suppression.	CMC/dose optimization.	No superiority over mono/combo.	Medium-Low
OSMR	Q99650	SSc/HS	ADC	Low	Deplete OSMR-positive fibroblasts/epithelial cells.	Conceptually pathologic fibroblast depletion.	Normal tissue toxicity, poor repair.	Internalization and TI.	Normal fibroblast/epithelial killing.	Low
