Protein name	UniProt ID	Location class	Disease relationship	Existing drugs / clinical agents	Antibody MoA	Safety concerns	Differentiation hypothesis	Recommendation
BAFF receptor / TNFRSF13C	Q96RJ3	Membrane protein on B cells	Sjogren disease, SLE, autoimmune cytopenias, autoimmune hepatitis; BAFF-R supports mature autoreactive B-cell survival.	Ianalumab/VAY736 anti-BAFF-R in clinical development; no broad approved BAFF-R antibody confirmed.	Antagonism plus possible B-cell depletion depending on Fc design.	Infection, hypogammaglobulinemia, vaccine response impairment, B-cell depletion toxicity.	More selective than soluble BAFF neutralization; may spare APRIL/BCMA plasma-cell biology while removing BAFF-dependent autoreactive B cells.	High
CD40 ligand / CD154 / TNFSF5	P29965	Membrane and soluble ligand on activated T cells/platelets	T-B cell costimulation implicated in SLE, Sjogren disease, MS, transplant and other autoimmune diseases.	Dapirolizumab pegol, frexalimab, dazodalibep and other CD40L blockers in clinical development; historical anti-CD40L programs had thrombotic concerns.	Ligand blockade to suppress T-cell help to B cells and antigen-presenting-cell activation; Fc-silent or engineered formats preferred.	Thrombosis/platelet biology, infection, broad immune suppression.	Safer next-generation Fc-silent/fragment formats could revisit a strongly causal immunology node with biomarker-rich B-cell diseases.	High
FcRn / FCGRT	P55899	Membrane receptor; endosomal recycling receptor	Autoantibody-mediated diseases including gMG, pemphigus, bullous pemphigoid, ITP, possibly Sjogren/SLE subsets.	Efgartigimod, rozanolixizumab, nipocalimab and others approved or advanced in autoimmune indications.	Block IgG recycling to lower pathogenic IgG without direct B-cell depletion.	Infections, hypo-IgG, albumin/PK effects depending molecule, rebound after discontinuation.	Could be differentiated by dosing convenience, depth/duration of IgG lowering, albumin sparing, or disease-specific biomarker selection; target itself is crowded.	Medium
CD19	P15391	Membrane protein on B cells and plasmablasts	IgG4-RD, SLE, Sjogren disease, NMOSD and other antibody-driven autoimmune diseases.	Inebilizumab approved for NMOSD and IgG4-RD; obexelimab targets CD19 plus Fc gamma RIIb in development.	B-cell/plasmablast depletion or inhibitory co-ligation depending format.	Infection, hypogammaglobulinemia, prolonged B-cell depletion, PML warning context for B-cell depletion.	Non-depleting inhibitory bispecific/co-ligation could improve safety versus depletion in chronic autoimmune diseases.	Medium
CD20 / MS4A1	P11836	Membrane protein on B cells	AAV, pemphigus, RA, MS, SLE subsets, IgG4-RD; B-cell depletion is clinically validated.	Rituximab, ocrelizumab, ofatumumab, ublituximab and biosimilars/related drugs approved across autoimmune/oncology settings.	B-cell depletion via ADCC/CDC/apoptosis.	Infections, hypogammaglobulinemia, infusion reactions, HBV reactivation, PML rare.	Very validated but crowded; differentiation would need tissue-selective, safer, or less-depleting design.	Low
BAFF / BLyS / TNFSF13B	P23560	Secreted and membrane-associated TNF-family cytokine	SLE/LN and Sjogren disease B-cell activation; elevated BAFF can promote autoreactive B-cell survival.	Belimumab approved for SLE/LN; blisibimod and other BAFF inhibitors studied.	Neutralize soluble/membrane BAFF to reduce B-cell survival signals.	Infection, depression/suicidality label context, reduced humoral immunity, slow onset.	Still useful as benchmark; new seed would need better patient selection or dual pathway design.	Medium
APRIL / TNFSF13	O75888	Secreted TNF-family cytokine, can bind proteoglycans	B-cell/plasma-cell survival, IgA/autoantibody biology; relevant to SLE, IgA nephropathy, Sjogren-like B-cell disease.	Atacicept and telitacicept block BAFF/APRIL; anti-APRIL agents active in kidney/autoimmune pipelines.	Neutralize APRIL or dual BAFF/APRIL axis to reduce plasma-cell support.	Hypogammaglobulinemia, infections, broader antibody suppression than BAFF alone.	Differentiation may come from APRIL-selective plasma-cell modulation in autoantibody-high disease.	Medium
TACI / TNFRSF13B	O14836	Membrane receptor on B cells/plasmablasts	Binds BAFF/APRIL; involved in B-cell differentiation and immunoglobulin production; CVID genetics underscore immune role.	Telitacicept/atacicept are receptor-Fc ligand traps, not TACI agonist antibodies; direct TACI-targeting in autoimmunity is less established.	Antagonism or inhibitory receptor modulation; alternative is ligand trapping.	Immunodeficiency-like effects, infection, unpredictable agonism/antagonism biology.	Potential to tune B-cell/plasmablast biology differently from BAFF-only blockade, but biology is complex.	Low
IL-6 receptor / IL6R	P08887	Membrane receptor with soluble receptor form	RA, giant cell arteritis, systemic sclerosis-ILD, cytokine-driven autoimmune inflammation.	Tocilizumab and sarilumab approved in inflammatory diseases; multiple biosimilars/competitors.	Block IL-6 signaling through membrane and soluble receptor pathways.	Infection, neutropenia, liver enzymes, lipid changes, GI perforation risk.	Validated but crowded; differentiation in SSc/rare autoimmune disease would require patient selection and better safety/convenience.	Low
IL-6	P05231	Secreted cytokine	Broad inflammatory cytokine in RA, AAV, SSc, GCA and cytokine storm-like states.	Siltuximab approved in Castleman disease; IL-6/IL-6R axis widely drugged.	Neutralize circulating IL-6.	Similar IL-6 pathway risks; broad immune suppression.	Ligand targeting may differ from receptor blockade but autoimmune space is crowded and differentiation weak.	Low
